ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM276_/PSM276__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM277_/PSM277__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM278_/PSM278__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM279_/PSM279__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM280_/PSM280__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM281_/PSM281__MLST/mlst_report.tsv	44	2	5	2	1	1	3	1
PSM300/PSM300_MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM301/PSM301_MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM302/PSM302_MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM303/PSM303_MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM304/PSM304_MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM305/PSM305_MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM306/PSM306_MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
